id;bid_for_story_tree_id;bidder_id;story_tree_id;price;client_secret;payment_state;payment_message;create_time;update_time
1;36635;18398;62488;53541;applications Bacon;core Checking Account;Music;2021-02-22T06:12:39;2021-02-21T22:02:55
2;38801;33338;81027;93164;overriding back up;e-services Skyway;hack;2021-02-22T04:42:22;2021-02-21T15:26:02
3;96282;94279;56143;606;PNG tan Incredible;Wooden Keyboard Plastic;Avon payment;2021-02-21T15:29:11;2021-02-22T06:35:40
4;50944;39104;29946;92619;deposit;redundant Multi-channelled bandwidth;Secured;2021-02-21T19:48:12;2021-02-22T02:51:35
5;46136;39371;49650;31306;EXE invoice demand-driven;Dynamic Garden;French Polynesia Interactions;2021-02-21T14:46:13;2021-02-21T19:23:06
6;94884;97159;53116;19362;1080p fuchsia whiteboard;feed;exploit Table;2021-02-22T08:40:00;2021-02-22T05:42:52
7;54932;81260;23105;44689;user-centric Awesome;Metrics connecting Awesome Rubber Fish;New Zealand Islands Illinois;2021-02-22T08:04:35;2021-02-21T20:04:58
8;97971;64178;17239;84465;Kids West Virginia;Cedi wireless Tasty Soft Cheese;reboot target Bedfordshire;2021-02-21T16:50:11;2021-02-22T05:04:16
9;42931;47766;57059;79024;24 hour;mobile Intelligent Rubber Chair wireless;Multi-tiered;2021-02-21T15:11:29;2021-02-21T17:30:39
10;53784;74619;71432;69442;methodology Intelligent Frozen Shirt;Car incubate;invoice Administrator EXE;2021-02-21T15:04:29;2021-02-22T03:30:30
